Policy Area,Need Group,Agency,Type,Need,Request
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Domestic violence services,Other domestic violence services requests
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Domestic violence services,Provide emergency shelter for domestic violence victims
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Domestic violence services,"Provide social services for domestic violence survivors (legal services, counseling, referral to supportive services, etc.)"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Homelessness prevention programs,Other homelessness prevention program request
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Homelessness prevention programs,"Provide, expand, or enhance homeless prevention programs/anti-eviction legal services"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Homelessness prevention programs,"Provide, expand, or enhance rental assistance programs/vouchers for permanent housing"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services for vulnerable New Yorkers,Assist low income households in paying for energy costs
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services for vulnerable New Yorkers,"Expand, or enhance Emergency Food Assistance Program (EFAP)"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services for vulnerable New Yorkers,Improve the delivery of emergency food and shelter in case of a disaster
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services for vulnerable New Yorkers,Other request for services for vulnerable New Yorkers
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services for vulnerable New Yorkers,"Provide, expand, or enhance adult protective services"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services for vulnerable New Yorkers,"Provide, expand, or enhance in-home medical and non-medical care"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services to support low-income New Yorkers,Enhance cash assistance programs
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services to support low-income New Yorkers,Expand access to public health insurance such as Medicaid
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services to support low-income New Yorkers,Other request for services to support low-income New Yorkers
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services to support low-income New Yorkers,Provide Metrocards to help low-income New Yorkers get to work and around the City
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services to support low-income New Yorkers,"Provide, expand, or enhance educational programs for adults"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services to support low-income New Yorkers,"Provide, expand, or enhance Fair Fares"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services to support low-income New Yorkers,"Provide, expand, or enhance food assistance, such as Food Stamps / SNAP"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services to support low-income New Yorkers,"Provide, expand, or enhance job search and placement support"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services to support low-income New Yorkers,"Provide, expand, or enhance job training"
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Capital,Services for vulnerable New Yorkers,Other capital budget request for HRA
Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services for vulnerable New Yorkers,Other expense budget request for HRA
"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Expense,Early care and educational programs,"Provide, expand, or enhance funding for Child Care and Head Start programs"
"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Expense,Educational programs,"Assign more non-teaching staff, e.g., to provide social, health and other services"
"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Expense,Educational programs,Assign more teaching staff
"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Expense,Educational programs,"Expand or improve nutritional programs, e.g., school meals"
"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Expense,Educational programs,Other educational programs requests
"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Expense,Educational programs,Provide more funds for teaching resources such as classroom material
"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Capital,Educational programs,Other capital budget request for DOE
"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Expense,Educational programs,Other expense budget request for DOE
"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Provide a new or expand an existing elementary school
"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Provide a new or expand an existing high school
"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Provide a new or expand an existing middle/intermediate school
"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Provide technology upgrade
"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Renovate exterior building component
"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Renovate interior building component
"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Renovate or upgrade a high school
"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Renovate or upgrade a middle or intermediate school
"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Renovate or upgrade an elementary school
"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Renovate other site component
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Agency-wide,Increase staff recruitment and retention
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Agency-wide,"Provide, expand, or enhance training opportunities for staff"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Capital,Agency-wide,"Renovate, upgrade, or expand ACS sites that provide services to children, youth and families"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Child and family well-being,"Provide, expand, or enhance primary prevention services to strengthen families"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Child protection and child welfare,Increase support for child protection staff
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Foster care and child welfare,Increase kinship foster care placements and support for foster parents
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Foster care and child welfare,Other foster care and child welfare requests
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Foster care and child welfare,"Provide, expand, or enhance funding to support higher education and/or workforce development opportunities for youth who are leaving foster care"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Foster care and child welfare,"Provide, expand, or enhance housing assistance for youth that are leaving foster care"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Juvenile justice programs,Increase support for juvenile justice staff
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Juvenile justice programs,"Provide, expand, or enhance preventive services and community based alternatives for youth"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Juvenile justice programs,"Provide, expand, or enhance programming for Close to Home residential programs and/or juvenile detention sites"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Preventive and child welfare,"Provide, expand, or enhance child welfare preventive services"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Administration for Children's Services (ACS),Expense,Agency-wide,Other expense budget request for ACS
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,After school programs,"Provide, expand, or enhance after school programs for elementary school students (grades K-5)"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,After school programs,"Provide, expand, or enhance after school programs for middle school students (grades 6-8)"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,After school programs,"Provide, expand, or enhance Cornerstone and Beacon programs (all ages, including young adults)"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Literacy programs,"Provide, expand, or enhance adolescent literacy programs and services"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Literacy programs,"Provide, expand, or enhance adult literacy programs services"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Programs for non-custodial fathers,"Provide, expand, or enhance fatherhood programs for non-custodial fathers, e.g. parenting skills training"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Runaway and homeless youth,Other runaway and homeless youth requests
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Runaway and homeless youth,"Provide, expand, or enhance drop-in center services"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Runaway and homeless youth,"Provide, expand, or enhance residential services"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Runaway and homeless youth,"Provide, expand, or enhance street outreach services"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Services for immigrants and immigrant families,Other services for immigrants and immigrant families requests
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Services for immigrants and immigrant families,"Provide, expand, or enhance English for speakers of other languages (ESOL) services"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Youth workforce development,Other youth workforce development requests
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Youth workforce development,"Provide, expand, or enhance skills training and employment services for high school students at risk of dropping out"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Youth workforce development,"Provide, expand, or enhance the out-of-school youth program for job training and employment services"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Youth workforce development,"Provide, expand, or enhance the Summer Youth Employment Program"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Youth workforce development,"Provide, expand, or enhance the Young Adult Internship Program"
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,After school programs,Other expense budget request for DYCD
"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Capital,After school programs,Other capital budget request for DYCD
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,Add NYPD parking facilities
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,Other NYPD facilities and equipment requests
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD facilities and equipment,Other NYPD facilities and equipment requests 
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,"Provide a new NYPD facility, such as a new precinct house or sub-precinct"
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD facilities and equipment,Provide additional patrol cars and other vehicles
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD facilities and equipment,Provide additional ShotSpotter coverage
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,Provide surveillance (Argus) cameras
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,Renovate or upgrade existing precinct houses
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,Upgrade the emergency response system
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD programs,Increase resources for domestic violence prevention programs
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD programs,Increase resources for other crime prevention programs
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD programs,"Increase resources for vandalism prevention programs, such as anti-graffiti initiatives"
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD programs,Increase resources for youth crime prevention programs
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD programs,Other NYPD programs requests
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,Hire additional community affairs officers
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,Hire additional crossing guards
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,Hire additional housing police officers
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,Hire additional school safety agents
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,"Hire additional staff to address specific crimes (e.g. drug, gang-related, vice, etc.)"
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,Hire additional traffic enforcement agents
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,Hire additional transit police officers
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,Hire additional uniformed officers
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,Other NYPD staff resources requests
Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,"Provide resources to train officers, e.g. in community policing"
Public Safety and Emergency Services,Needs for Emergency Services,Fire Department of New York (FDNY),Capital,FDNY facilities and equipment,Other FDNY facilities and equipment requests
Public Safety and Emergency Services,Needs for Emergency Services,Fire Department of New York (FDNY),Capital,FDNY facilities and equipment,"Provide new emergency vehicles, such as fire trucks or ambulances"
Public Safety and Emergency Services,Needs for Emergency Services,Fire Department of New York (FDNY),Capital,FDNY facilities and equipment,Provide new facilities such as a firehouse or EMS station
Public Safety and Emergency Services,Needs for Emergency Services,Fire Department of New York (FDNY),Capital,FDNY facilities and equipment,Rehabilitate or renovate existing fire houses or EMS stations
Public Safety and Emergency Services,Needs for Emergency Services,Fire Department of New York (FDNY),Capital,FDNY facilities and equipment,Upgrade communication equipment to improve emergency response
Public Safety and Emergency Services,Needs for Emergency Services,Fire Department of New York (FDNY),Expense,FDNY programs and staffing,Expand funding for fire prevention and life safety initiatives
Public Safety and Emergency Services,Needs for Emergency Services,Fire Department of New York (FDNY),Expense,FDNY programs and staffing,Provide more firefighters or EMS workers
Public Safety and Emergency Services,Needs for Emergency Services,Fire Department of New York (FDNY),Expense,FDNY programs and staffing,Other expense budget request for FDNY
Public Safety and Emergency Services,Needs for Emergency Services,Fire Department of New York (FDNY),Capital,FDNY facilities and equipment,Other capital budget request for FDNY
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Environmental protection,Investigate air quality complaints at specific location
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Environmental protection,Investigate and address a hazardous materials complaint at a specific address/location
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Environmental protection,Investigate noise complaints at specific location
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Environmental protection,Request investigation of asbestos abatement work at specific location/address
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Sewage and flooding,Clean catch basins
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Capital,Sewage and flooding,Develop a capital project for specific street segments currently lacking sanitary sewers
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Capital,Sewage and flooding,"Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds"
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Capital,Sewage and flooding,"Evaluate a street segment or intersection for green infrastructure, e.g. rain gardens, stormwater greenstreets, and plan for construction if feasible"
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Sewage and flooding,Inspect sanitary sewer on specific street segment and repair or replace as needed
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Sewage and flooding,"Inspect storm sewer on specific street segment and service, repair or replace as needed"
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Capital,Sewage and flooding,Move a planned capital project into the budget for the next fiscal year
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Wastewater treatment system,Investigate complaints about wastewater facility effluent or overflow and address/repair or make equipment improvements as needed
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Wastewater treatment system,Investigate odor complaints about a wastewater facility and address/repair or make equipment improvements as needed
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Water supply system,Inspect fire hydrant at a specific location and repair or replace as needed
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Water supply system,Inspect water main on specific street segment and repair or replace as needed
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Water supply system,Investigate and address water pressure complaint at specific address or on specific street segment
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Water supply system,Investigate and address water quality complaints at an address or on specific street segments
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Capital,Environmental protection,Other capital budget request for DEP
"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Environmental protection,Other expense budget request for DEP
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Expand disposal events for hazardous household waste
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Expand opportunities for electronic waste collection and disposal
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Other garbage collection and recycling requests
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Provide more frequent garbage or recycling pick-up
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Provide more frequent garbage or recycling pick-up for schools and institutions
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Provide more frequent organics/recycling collection service for schools and institutions
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Provide more on-street trash cans and recycling containers
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Provide or expand community composting programs
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Expand Curbside Composting
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Capital,Garbage collection and recycling infrastructure,Maintain replacement cycle for trucks and equipment
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Capital,Garbage collection and recycling infrastructure,Other garbage collection and recycling infrastructure requests
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Capital,Garbage collection and recycling infrastructure,Provide new or increase number of sanitation trucks and other equipment
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Capital,Garbage collection and recycling infrastructure,Provide new or upgrade existing sanitation garages or other sanitation infrastructure
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Capital,Garbage collection and recycling infrastructure,Increase number of surveillance cameras for illegal dumping
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation enforcement,Increase enforcement of alternate street parking cleaning rules
